timestamp,hourly_channels,hourly_viewership,channels_change,viewership_change,game_name
2024-04-19 03:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-19 04:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-19 05:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-19 06:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-19 07:00:00+00:00,1,26,1.0,26.0,Black Desert
2024-04-19 08:00:00+00:00,0,0,-1.0,-26.0,Black Desert
2024-04-19 09:00:00+00:00,1,24,1.0,24.0,Black Desert
2024-04-19 10:00:00+00:00,0,0,-1.0,-24.0,Black Desert
2024-04-19 11:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-19 12:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-19 13:00:00+00:00,1,76,1.0,76.0,Black Desert
2024-04-19 14:00:00+00:00,0,0,-1.0,-76.0,Black Desert
2024-04-19 15:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-19 16:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-19 17:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-19 18:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-19 19:00:00+00:00,1,17,1.0,17.0,Black Desert
2024-04-19 20:00:00+00:00,2,207,1.0,190.0,Black Desert
2024-04-19 21:00:00+00:00,0,0,-2.0,-207.0,Black Desert
2024-04-19 22:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-19 23:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-20 00:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-20 01:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-20 02:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-20 03:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-20 04:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-20 05:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-20 06:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-20 07:00:00+00:00,1,19,1.0,19.0,Black Desert
2024-04-20 08:00:00+00:00,1,185,0.0,166.0,Black Desert
2024-04-20 09:00:00+00:00,3,119,2.0,-66.0,Black Desert
2024-04-20 10:00:00+00:00,3,463,0.0,344.0,Black Desert
2024-04-20 11:00:00+00:00,7,798,4.0,335.0,Black Desert
2024-04-20 12:00:00+00:00,1,49,-6.0,-749.0,Black Desert
2024-04-20 13:00:00+00:00,2,494,1.0,445.0,Black Desert
2024-04-20 14:00:00+00:00,7,417,5.0,-77.0,Black Desert
2024-04-20 15:00:00+00:00,11,1195,4.0,778.0,Black Desert
2024-04-20 16:00:00+00:00,15,1262,4.0,67.0,Black Desert
2024-04-20 17:00:00+00:00,25,2005,10.0,743.0,Black Desert
2024-04-20 18:00:00+00:00,9,541,-16.0,-1464.0,Black Desert
2024-04-20 19:00:00+00:00,5,272,-4.0,-269.0,Black Desert
2024-04-19 02:00:00+00:00,1,14,,,Brawl Stars
2024-04-19 03:00:00+00:00,0,0,-1.0,-14.0,Brawl Stars
2024-04-19 04:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-19 05:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-19 06:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-19 07:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-19 08:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-19 09:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-19 10:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-19 11:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-19 12:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-19 13:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-19 14:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-19 15:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-19 16:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-19 17:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-19 18:00:00+00:00,1,11,1.0,11.0,Brawl Stars
2024-04-19 19:00:00+00:00,0,0,-1.0,-11.0,Brawl Stars
2024-04-19 20:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-19 21:00:00+00:00,1,16,1.0,16.0,Brawl Stars
2024-04-19 22:00:00+00:00,0,0,-1.0,-16.0,Brawl Stars
2024-04-19 23:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-20 00:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-20 01:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-20 02:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-20 03:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-20 04:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-20 05:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-20 06:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-20 07:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-20 08:00:00+00:00,1,5,1.0,5.0,Brawl Stars
2024-04-20 09:00:00+00:00,2,1036,1.0,1031.0,Brawl Stars
2024-04-20 10:00:00+00:00,1,4,-1.0,-1032.0,Brawl Stars
2024-04-20 11:00:00+00:00,0,0,-1.0,-4.0,Brawl Stars
2024-04-20 12:00:00+00:00,0,0,0.0,0.0,Brawl Stars
2024-04-20 13:00:00+00:00,2,20,2.0,20.0,Brawl Stars
2024-04-20 14:00:00+00:00,5,1161,3.0,1141.0,Brawl Stars
2024-04-20 15:00:00+00:00,5,77,0.0,-1084.0,Brawl Stars
