game_name,timestamp,hourly_channels,hourly_viewership,views_per_channel
Brawl Stars,2024-04-20 06:00:00+00:00,0,0,
Brawl Stars,2024-04-20 07:00:00+00:00,0,0,
Brawl Stars,2024-04-20 08:00:00+00:00,1,5,5.0
Brawl Stars,2024-04-20 09:00:00+00:00,2,1036,518.0
Brawl Stars,2024-04-20 10:00:00+00:00,1,4,4.0
Brawl Stars,2024-04-20 11:00:00+00:00,0,0,
Brawl Stars,2024-04-20 12:00:00+00:00,0,0,
Brawl Stars,2024-04-20 13:00:00+00:00,2,20,10.0
Brawl Stars,2024-04-20 14:00:00+00:00,5,1161,232.2
Brawl Stars,2024-04-20 15:00:00+00:00,5,77,15.4
Brawl Stars,2024-04-20 16:00:00+00:00,6,888,148.0
Brawl Stars,2024-04-20 17:00:00+00:00,11,274,24.909
Brawl Stars,2024-04-20 18:00:00+00:00,33,824,24.97
Brawl Stars,2024-04-20 19:00:00+00:00,30,526,17.533
Brawlhalla,2024-04-18 21:00:00+00:00,1,15,15.0
Brawlhalla,2024-04-18 22:00:00+00:00,0,0,
Brawlhalla,2024-04-18 23:00:00+00:00,0,0,
Brawlhalla,2024-04-19 00:00:00+00:00,0,0,
Brawlhalla,2024-04-19 01:00:00+00:00,0,0,
Brawlhalla,2024-04-19 02:00:00+00:00,0,0,
Brawlhalla,2024-04-19 03:00:00+00:00,0,0,
Brawlhalla,2024-04-19 04:00:00+00:00,0,0,
Brawlhalla,2024-04-19 05:00:00+00:00,0,0,
Brawlhalla,2024-04-19 06:00:00+00:00,0,0,
Brawlhalla,2024-04-19 07:00:00+00:00,0,0,
Brawlhalla,2024-04-19 08:00:00+00:00,0,0,
Brawlhalla,2024-04-19 09:00:00+00:00,0,0,
Brawlhalla,2024-04-19 10:00:00+00:00,0,0,
Brawlhalla,2024-04-19 11:00:00+00:00,0,0,
Brawlhalla,2024-04-19 12:00:00+00:00,0,0,
Brawlhalla,2024-04-19 13:00:00+00:00,0,0,
Brawlhalla,2024-04-19 14:00:00+00:00,0,0,
Brawlhalla,2024-04-19 15:00:00+00:00,0,0,
Brawlhalla,2024-04-19 16:00:00+00:00,0,0,
Brawlhalla,2024-04-19 17:00:00+00:00,0,0,
Brawlhalla,2024-04-19 18:00:00+00:00,0,0,
Brawlhalla,2024-04-19 19:00:00+00:00,0,0,
Brawlhalla,2024-04-19 20:00:00+00:00,0,0,
Brawlhalla,2024-04-19 21:00:00+00:00,0,0,
Brawlhalla,2024-04-19 22:00:00+00:00,0,0,
Brawlhalla,2024-04-19 23:00:00+00:00,0,0,
Brawlhalla,2024-04-20 00:00:00+00:00,0,0,
Brawlhalla,2024-04-20 01:00:00+00:00,0,0,
Brawlhalla,2024-04-20 02:00:00+00:00,0,0,
Brawlhalla,2024-04-20 03:00:00+00:00,2,2,1.0
Brawlhalla,2024-04-20 04:00:00+00:00,0,0,
Brawlhalla,2024-04-20 05:00:00+00:00,0,0,
Brawlhalla,2024-04-20 06:00:00+00:00,0,0,
Brawlhalla,2024-04-20 07:00:00+00:00,0,0,
Brawlhalla,2024-04-20 08:00:00+00:00,0,0,
Brawlhalla,2024-04-20 09:00:00+00:00,1,5,5.0
Brawlhalla,2024-04-20 10:00:00+00:00,0,0,
Brawlhalla,2024-04-20 11:00:00+00:00,0,0,
Brawlhalla,2024-04-20 12:00:00+00:00,3,1085,361.667
Brawlhalla,2024-04-20 13:00:00+00:00,3,20,6.667
Brawlhalla,2024-04-20 14:00:00+00:00,3,3,1.0
Brawlhalla,2024-04-20 15:00:00+00:00,6,13351,2225.167
Brawlhalla,2024-04-20 16:00:00+00:00,9,32,3.556
Brawlhalla,2024-04-20 17:00:00+00:00,14,59,4.214
Brawlhalla,2024-04-20 18:00:00+00:00,28,279,9.964
Brawlhalla,2024-04-20 19:00:00+00:00,26,60,2.308
Call of Duty,2024-04-20 08:00:00+00:00,2,11,5.5
Call of Duty,2024-04-20 09:00:00+00:00,0,0,
Call of Duty,2024-04-20 10:00:00+00:00,0,0,
Call of Duty,2024-04-20 11:00:00+00:00,0,0,
Call of Duty,2024-04-20 12:00:00+00:00,1,44,44.0
Call of Duty,2024-04-20 13:00:00+00:00,1,10,10.0
Call of Duty,2024-04-20 14:00:00+00:00,2,19,9.5
Call of Duty,2024-04-20 15:00:00+00:00,6,46,7.667
Call of Duty,2024-04-20 16:00:00+00:00,10,198,19.8
Call of Duty,2024-04-20 17:00:00+00:00,28,358,12.786
Call of Duty,2024-04-20 18:00:00+00:00,29,608,20.966
Call of Duty,2024-04-20 19:00:00+00:00,19,260,13.684
Call of Duty: Modern Warfare III,2024-04-19 02:00:00+00:00,1,30,30.0
Call of Duty: Modern Warfare III,2024-04-19 03:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 04:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 05:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 06:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 07:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 08:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 09:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 10:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 11:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 12:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 13:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 14:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 15:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 16:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 17:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 18:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 19:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 20:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 21:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-19 22:00:00+00:00,2,75,37.5
Call of Duty: Modern Warfare III,2024-04-19 23:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-20 00:00:00+00:00,1,43,43.0
Call of Duty: Modern Warfare III,2024-04-20 01:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-20 02:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-20 03:00:00+00:00,1,25,25.0
Call of Duty: Modern Warfare III,2024-04-20 04:00:00+00:00,2,79,39.5
Call of Duty: Modern Warfare III,2024-04-20 05:00:00+00:00,1,25,25.0
Call of Duty: Modern Warfare III,2024-04-20 06:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-20 07:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-20 08:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-20 09:00:00+00:00,2,104,52.0
Call of Duty: Modern Warfare III,2024-04-20 10:00:00+00:00,1,101,101.0
Call of Duty: Modern Warfare III,2024-04-20 11:00:00+00:00,0,0,
Call of Duty: Modern Warfare III,2024-04-20 12:00:00+00:00,2,103,51.5
Call of Duty: Modern Warfare III,2024-04-20 13:00:00+00:00,3,161,53.667
Call of Duty: Modern Warfare III,2024-04-20 14:00:00+00:00,4,133,33.25
Call of Duty: Modern Warfare III,2024-04-20 15:00:00+00:00,6,200,33.333
Call of Duty: Modern Warfare III,2024-04-20 16:00:00+00:00,10,258,25.8
Call of Duty: Modern Warfare III,2024-04-20 17:00:00+00:00,22,660,30.0
Call of Duty: Modern Warfare III,2024-04-20 18:00:00+00:00,19,1074,56.526
Call of Duty: Modern Warfare III,2024-04-20 19:00:00+00:00,19,877,46.158
Call of Duty: Warzone,2024-04-19 15:00:00+00:00,1,65,65.0
Call of Duty: Warzone,2024-04-19 16:00:00+00:00,0,0,
Call of Duty: Warzone,2024-04-19 17:00:00+00:00,0,0,
Call of Duty: Warzone,2024-04-19 18:00:00+00:00,0,0,
Call of Duty: Warzone,2024-04-19 19:00:00+00:00,0,0,
Call of Duty: Warzone,2024-04-19 20:00:00+00:00,0,0,
Call of Duty: Warzone,2024-04-19 21:00:00+00:00,0,0,
Call of Duty: Warzone,2024-04-19 22:00:00+00:00,0,0,
Call of Duty: Warzone,2024-04-19 23:00:00+00:00,0,0,
Call of Duty: Warzone,2024-04-20 00:00:00+00:00,1,923,923.0
Call of Duty: Warzone,2024-04-20 01:00:00+00:00,0,0,
Call of Duty: Warzone,2024-04-20 02:00:00+00:00,1,127,127.0
Call of Duty: Warzone,2024-04-20 03:00:00+00:00,0,0,
Call of Duty: Warzone,2024-04-20 04:00:00+00:00,1,100,100.0
Call of Duty: Warzone,2024-04-20 05:00:00+00:00,0,0,
Call of Duty: Warzone,2024-04-20 06:00:00+00:00,0,0,
Call of Duty: Warzone,2024-04-20 07:00:00+00:00,0,0,
Call of Duty: Warzone,2024-04-20 08:00:00+00:00,1,85,85.0
Call of Duty: Warzone,2024-04-20 09:00:00+00:00,0,0,
Call of Duty: Warzone,2024-04-20 10:00:00+00:00,1,89,89.0
Call of Duty: Warzone,2024-04-20 11:00:00+00:00,1,533,533.0
Call of Duty: Warzone,2024-04-20 12:00:00+00:00,6,5214,869.0
Call of Duty: Warzone,2024-04-20 13:00:00+00:00,3,1849,616.333
Call of Duty: Warzone,2024-04-20 14:00:00+00:00,7,3027,432.429
Call of Duty: Warzone,2024-04-20 15:00:00+00:00,4,4610,1152.5
Call of Duty: Warzone,2024-04-20 16:00:00+00:00,14,2375,169.643
Call of Duty: Warzone,2024-04-20 17:00:00+00:00,26,7108,273.385
Call of Duty: Warzone,2024-04-20 18:00:00+00:00,19,4239,223.105
Call of Duty: Warzone,2024-04-20 19:00:00+00:00,14,2927,209.071
Casino,2024-04-18 22:00:00+00:00,1,293,293.0
Casino,2024-04-18 23:00:00+00:00,0,0,
Casino,2024-04-19 00:00:00+00:00,0,0,
Casino,2024-04-19 01:00:00+00:00,0,0,
Casino,2024-04-19 02:00:00+00:00,0,0,
Casino,2024-04-19 03:00:00+00:00,0,0,
Casino,2024-04-19 04:00:00+00:00,0,0,
Casino,2024-04-19 05:00:00+00:00,0,0,
Casino,2024-04-19 06:00:00+00:00,0,0,
Casino,2024-04-19 07:00:00+00:00,0,0,
Casino,2024-04-19 08:00:00+00:00,0,0,
Casino,2024-04-19 09:00:00+00:00,0,0,
Casino,2024-04-19 10:00:00+00:00,0,0,
Casino,2024-04-19 11:00:00+00:00,4,5,1.25
Casino,2024-04-19 12:00:00+00:00,0,0,
Casino,2024-04-19 13:00:00+00:00,1,15,15.0
Casino,2024-04-19 14:00:00+00:00,0,0,
Casino,2024-04-19 15:00:00+00:00,0,0,
Casino,2024-04-19 16:00:00+00:00,0,0,
Casino,2024-04-19 17:00:00+00:00,0,0,
Casino,2024-04-19 18:00:00+00:00,0,0,
Casino,2024-04-19 19:00:00+00:00,0,0,
Casino,2024-04-19 20:00:00+00:00,0,0,
Casino,2024-04-19 21:00:00+00:00,0,0,
Casino,2024-04-19 22:00:00+00:00,0,0,
